Id,Full_Name,Medical_License_Number,Npi_Number,Specialty,Affiliation,Practice_Address,Email,Phone,Confidence_Score,Issue,Manual_Review
150,Dr. Leah Scott,DY376021,5650396958,Neurology,Apollo Hospital,"29493 Campos Turnpike Suite 252, Karenmouth, CT 91879",figueroaanna@example.com,(566)797-5996,100,,Pending
151,Dr. Tiffany Cruz,RM351967,1040666475,Dermatology,City Hospital,"1467 Adams Extensions Suite 442, Chelseybury, ME 40215",ddawson@example.net,(407)691-4560,100,,Pending
152,Dr. Austin Smith,DC337187,9143034718,Orthopedics,Sunrise Medical Center,"142 Alison Forges Suite 524, Owensfort, AR 57690",moorelinda@example.net,+1-999-516-3911x944,100,,Pending
153,Dr. Randall Nguyen,DW630062,3663315542,General Surgery,City Hospital,"678 Gilbert Crossroad Apt. 349, Quinntown, OR 60388",chrishill@example.net,925-559-1874x8157,100,,Pending
154,Dr. Justin Gibbs,EJ226951,8149051208,Dermatology,LifeCare Clinic,"Unit 6734 Box 3361, DPO AA 80673",gbyrd@example.net,678-342-7188,100,,Pending
155,Dr. Kelly Weber,SD729649,3520789494,Psychiatry,LifeCare Clinic,"4385 Cole Tunnel, North Markchester, CT 94313",christopherdaniels@example.com,328-467-3939,100,,Pending
156,Dr. Dustin Perez,ZU325302,2779603897,Cardiology,Sunrise Medical Center,"662 Joshua Meadows, Natalieside, DC 78291",jadecaldwell@example.com,831-882-6078x206,100,,Pending
157,Dr. John Henderson,ZD275454,7676384071,Radiology,Fortis Care,"676 Anderson Meadows Suite 732, Smithmouth, GA 73935",bobhernandez@example.com,(216)900-9629,100,,Pending
158,Dr. Amanda Alexander,JN537561,6274119505,Radiology,Apollo Hospital,"Unit 5324 Box 5093, DPO AP 83701",qsimmons@example.net,386-574-2308,100,,Pending
159,Dr. Daniel Mitchell,YN738571,3028472119,Neurology,City Hospital,"077 Gomez Path Apt. 829, Lake Jose, NM 80140",slee@example.net,(638)654-5449x636,100,,Pending
160,Dr. Brad Friedman,IT179121,2261049058,Dermatology,Sunrise Medical Center,"17923 Mary Road, Karenview, MN 78308",kcollins@example.com,684-228-9011x14000,100,,Pending
161,Dr. Mary Holmes,PV398772,3363985854,Psychiatry,LifeCare Clinic,"8350 Daniel Path Apt. 939, East Davidburgh, DC 04151",nroberts@example.org,001-869-497-8184x9444,100,,Pending
162,Dr. Juan Santos,QN131271,9759145438,Orthopedics,LifeCare Clinic,"121 Jennifer Rapid Suite 258, Lake Susan, ME 04504",mwilson@example.org,535-637-9227,100,,Pending
163,Dr. Daniel Maynard,IL549152,3350363502,Psychiatry,Global Health Clinic,"618 Douglas Drives Apt. 608, Kristinamouth, NV 49960",mtanner@example.com,918.688.6904,100,,Pending
164,Dr. Sarah Adams,EN990352,2834522836,Pediatrics,LifeCare Clinic,"USNV Booth, FPO AE 63400",tommy09@example.net,3295901262,100,,Pending
165,Dr. Stephen Ochoa,FW343992,8846471598,Psychiatry,Fortis Care,"523 Rebekah Island Suite 312, West Emilyburgh, LA 23523",stephanie85@example.com,+1-414-553-4162x458,100,,Pending
166,Dr. David Vargas,IQ981566,8825152599,Orthopedics,Apollo Hospital,"012 Katherine Rapid Suite 923, Port Andrew, TN 22556",malonehaley@example.org,7275416794,100,,Pending
167,Dr. Keith Gross,ST226782,7230079891,Dermatology,LifeCare Clinic,"75695 Jessica Dale Suite 586, Hernandezborough, DE 53892",mjohnson@example.com,001-719-793-7831x8077,100,,Pending
168,Dr. Carlos Reed,EI132161,4115769682,Dermatology,Apollo Hospital,"2003 Mccormick Forest Apt. 266, West Colleen, DE 72056",karenbarry@example.com,853-278-5938x304,100,,Pending
169,Dr. Jay Cook,EE947396,7421700226,Neurology,Global Health Clinic,"02701 Mcbride Fords Apt. 184, Brooksside, MA 63488",ireyes@example.com,848.981.6457x846,100,,Pending
170,Dr. Jill Pierce,DH925566,2809054388,Psychiatry,City Hospital,"652 Jackson Causeway, Lake Jamesside, KS 53565",riverapaige@example.org,9477768713,100,,Pending
171,Dr. Tiffany Bolton,FC635855,6188386932,Cardiology,Apollo Hospital,"USNS Carter, FPO AP 12919",matthew22@example.org,(212)275-0280x716,100,,Pending
172,Dr. Gregory Hill,SG400463,4170226007,Psychiatry,Sunrise Medical Center,"9354 Castillo Flat Apt. 505, Brownstad, NJ 21033",patricia04@example.com,825-870-2752,100,,Pending
173,Dr. Jo Welch,OR410313,3741439545,Orthopedics,Fortis Care,"934 Tara Isle, Port Elizabeth, DC 18582",ferrelljoy@example.net,+1-483-265-6755,100,,Pending
174,Dr. Monica Randall,VQ454923,6988867106,Orthopedics,Fortis Care,"626 Elizabeth Stream Apt. 768, East Brian, VI 07376",sharon25@example.com,402.803.6452x471,100,,Pending
175,Dr. Lisa Moore,RI787180,2190293099,Radiology,Sunrise Medical Center,"54439 Laura Hollow Apt. 902, Port Tylershire, HI 63449",rturner@example.net,5002098331,100,,Pending
176,Dr. Cynthia Deleon,PZ740641,1531505041,Psychiatry,LifeCare Clinic,"909 Bird Village Apt. 438, Richardland, MI 12197",hodgegina@example.com,001-567-209-0804x09965,100,,Pending
177,Dr. Alexis Fry,OA122370,4843904891,Radiology,Fortis Care,"966 Johnny Tunnel Apt. 746, East Alexis, NM 04214",gonzalessandra@example.org,(304)308-3954,100,,Pending
178,Dr. Luis Steele,CY132002,2021539759,Neurology,Sunrise Medical Center,"4257 Henry Crossing Apt. 786, Wilsonmouth, NJ 18030",aprilparsons@example.com,321.392.3355x42861,100,,Pending
179,Dr. Michelle Brewer,GU383071,7268800548,Neurology,City Hospital,"94521 Walker Ridge Apt. 799, Port Gregorychester, ND 77168",omitchell@example.net,001-544-820-0079x4670,100,,Pending
180,Dr. Lauren Nelson,WE998672,1882730783,General Surgery,Fortis Care,"PSC 0093, Box 7486, APO AA 38023",james38@example.com,(274)809-3907x66217,100,,Pending
181,Dr. Kyle Murray,FI619664,3620962239,Psychiatry,City Hospital,"9458 Case Corner, South Kevin, AS 29858",hmendoza@example.org,+1-990-576-4513x14914,100,,Pending
182,Dr. Dustin Johnson,YB360048,4593784609,General Surgery,City Hospital,"94299 Olson Circles Apt. 721, Grossshire, MN 48834",theresaolsen@example.net,886.467.9218x6795,100,,Pending
183,Dr. Ryan Mcgee,TB634392,5454234814,Radiology,Global Health Clinic,"17075 Michael Crest Apt. 248, Lesliebury, PA 68097",gsilva@example.org,899.514.1198,100,,Pending
184,Dr. Sarah Campos,FX808733,1714764653,Radiology,Sunrise Medical Center,"89982 Alexander Row, North Bryanfort, WI 05957",paulbaker@example.org,+1-392-996-8630x4498,100,,Pending
185,Dr. Adam Contreras,FD104862,1611776433,General Surgery,Apollo Hospital,"472 William Stravenue Apt. 833, New Stevenbury, DC 19992",otaylor@example.com,001-503-955-0591,100,,Pending
186,Dr. Christopher Hudson,MJ325309,6703425254,Neurology,City Hospital,"612 Troy Brooks Suite 641, West John, AZ 47471",williamchen@example.org,+1-440-673-3265,100,,Pending
187,Dr. Cesar Davis,ZA973930,2958931743,Dermatology,Apollo Hospital,"088 Johnny Corners Apt. 429, Fisherhaven, IA 90678",smithpam@example.org,(207)731-4204,100,,Pending
188,Dr. Robert Gaines,GO676718,9570055760,Neurology,Global Health Clinic,"546 Nicholas Plaza, Nealchester, UT 65926",griffithmichael@example.com,8323992667,100,,Pending
189,Dr. Lauren Johnson,MR489108,8109606647,Radiology,City Hospital,"26630 Benjamin Unions Suite 682, Brendaside, CT 90706",kevincarter@example.net,587.918.7279,100,,Pending
190,Dr. John Brown,ZE320930,2637470619,Neurology,Global Health Clinic,"975 Smith Hollow, Owensberg, NM 57056",andrew42@example.org,+1-616-531-1014x700,100,,Pending
191,Dr. Hector Lopez,XF949454,8985250596,Pediatrics,City Hospital,"43461 Williams Bridge, New Aprilfort, PA 17429",carolyn56@example.net,(440)959-1617,100,,Pending
192,Dr. Elizabeth Bradshaw,GJ618807,3680498329,General Surgery,Fortis Care,"27934 Anthony Meadow Suite 427, New Adam, HI 05580",brian21@example.net,666-270-6987x6507,100,,Pending
193,Dr. George Joseph,HX788164,1232208158,General Surgery,Fortis Care,"325 Nelson Shoals, Joshuabury, WY 43117",hjohnson@example.com,001-480-552-9768,100,,Pending
194,Dr. Sheila Barber,SJ296145,8733761449,Psychiatry,Apollo Hospital,"63809 Smith Grove Suite 567, Sarahshire, MN 27113",carterjason@example.org,(294)609-3756,100,,Pending
195,Dr. Evan Gibson,NT128655,3665872606,Psychiatry,City Hospital,"6976 Brian Course Suite 513, Reneetown, TN 69577",staceygreen@example.com,(955)600-8789,100,,Pending
196,Dr. Jennifer Rivera,YN510506,1007742315,Neurology,Fortis Care,"USNV Morrison, FPO AP 95385",tonya83@example.org,596.957.6707x9200,100,,Pending
197,Dr. Christine Lynch,UR244935,2397634692,Cardiology,Global Health Clinic,"361 Cheyenne Mountain Apt. 046, Seanview, AK 32646",kimberly17@example.net,(636)960-7307x828,100,,Pending
198,Dr. Cindy Barnett,KZ251452,2417913010,Psychiatry,Global Health Clinic,"193 Jones Passage Apt. 709, North John, GA 00931",pereztravis@example.net,(621)955-9546x8195,100,,Pending
199,Dr. Michael Ellis,LZ939424,7746609034,Psychiatry,Apollo Hospital,"USCGC Hayes, FPO AA 97636",smithjennifer@example.net,+1-348-208-1498x457,100,,Pending
200,Dr. Leslie Jennings,XQ626157,6815110928,Orthopedics,Fortis Care,"52101 Taylor Meadow Apt. 986, Brentland, ME 97922",espinozaheather@example.com,+1-210-818-0380x31677,100,,Pending
201,Dr. Lauren Jennings,QH548105,8029509315,Radiology,City Hospital,"38101 Williams Crest Suite 888, New Kaylashire, DE 94209",tmccullough@example.org,001-374-468-4885x415,100,,Pending
202,Dr. Brent Rubio,MP754456,6361682909,Orthopedics,LifeCare Clinic,"2719 Parker Dale Suite 586, East Charles, RI 92406",longmaria@example.com,001-467-720-4852,100,,Pending
203,Dr. Heidi Peterson,NM515625,8374089195,Psychiatry,LifeCare Clinic,"25944 Reynolds Ville Suite 498, Port Jenniferfort, WV 30859",joelgonzalez@example.org,405.373.0353x09098,100,,Pending
204,Dr. Andrew Bruce,XQ682569,1776744464,Radiology,City Hospital,"57519 Wilson Place Suite 302, Waltonmouth, IL 75786",novakmargaret@example.net,001-335-721-9815x561,100,,Pending
205,Dr. Lisa Reese,GX884934,5658975476,Neurology,LifeCare Clinic,"49416 Trevor Street, West Scott, WV 05273",jhudson@example.com,(776)666-3646x1606,100,,Pending
206,Dr. Megan Turner,AT397947,5076154476,Dermatology,Global Health Clinic,"047 Raymond Knolls Apt. 597, East Thomas, TX 74432",zcooper@example.org,(264)631-2865,100,,Pending
207,Dr. Lori Hartman,JR926944,2062730129,Psychiatry,Apollo Hospital,"48127 Derek Courts Suite 095, North Jennifer, NH 02135",nicholasgaines@example.org,(998)555-0301,100,,Pending
208,Dr. Brian Martinez,XO688205,1435086007,Neurology,City Hospital,"160 Bryan Mountain, Lake Jamestown, MH 02668",martha82@example.net,(284)668-1089,100,,Pending
209,Dr. Colleen Cortez,DP368948,8867940533,Pediatrics,Fortis Care,"874 Gail Inlet, South Ruben, NM 45198",fpierce@example.com,(955)461-9802,100,,Pending
210,Dr. Joseph Clark,MS656271,8276783966,General Surgery,Sunrise Medical Center,"282 Cohen Gardens Suite 647, East Davidfort, NM 37964",rlarsen@example.org,922.328.1376x9082,100,,Pending
211,Dr. David Jones,OT606718,2140431329,Psychiatry,LifeCare Clinic,"6714 Thompson Roads Suite 814, South Jesse, TX 01743",hharris@example.net,240-988-5751,100,,Pending
212,Dr. Omar Cox,PY254352,2839645733,Orthopedics,Apollo Hospital,"67041 Byrd Locks, Maciasmouth, PR 91298",aaronrodriguez@example.org,709.227.2570,100,,Pending
213,Dr. Gregory Rogers,SY145922,6589528990,Radiology,LifeCare Clinic,"42073 David Curve Apt. 569, East Krystalstad, PW 41852",jonathanlopez@example.com,(830)337-8859,100,,Pending
214,Dr. Natalie Green,VX774136,5247815839,Cardiology,City Hospital,"8216 Houston Cove Suite 223, Lake Alexandermouth, OK 68916",rodneymitchell@example.com,8687170388,100,,Pending
215,Dr. Jerry Chapman,RN515210,8183232294,Pediatrics,Apollo Hospital,"18430 Garcia Bridge Suite 177, North Theresaside, MI 44455",isingleton@example.org,935-293-0994,100,,Pending
216,Dr. Randall Ibarra,PE171279,9625305136,Psychiatry,Fortis Care,"089 Jennifer Fort, Smithborough, RI 32816",washingtonangela@example.net,574-565-3704x568,100,,Pending
217,Dr. David Mendoza,DN975993,7670233926,Pediatrics,City Hospital,"2732 Andrew Spring Suite 817, New Christopher, AL 10265",kevinking@example.net,528-468-8927x077,100,,Pending
218,Dr. Brett Martin,BS728041,3702012456,Orthopedics,Global Health Clinic,"191 Jeremiah Shore Apt. 931, New Christopherstad, OR 77713",kevin14@example.com,001-295-831-6201x3349,100,,Pending
219,Dr. Steven Long,YR290801,3703320375,Dermatology,Global Health Clinic,"45059 Bridget Loaf Apt. 311, South Lisa, NY 31751",lanenathan@example.com,+1-334-609-8919x564,100,,Pending
220,Dr. Henry Mason,KB278493,9153146308,Cardiology,Sunrise Medical Center,"1077 Nathaniel Stravenue Suite 465, West Anthony, MI 11140",schwartzkyle@example.net,001-454-918-2851,100,,Pending
221,Dr. Bruce Mccoy,TR203316,7174814277,General Surgery,City Hospital,"966 Allen Wells Suite 930, West Benjaminport, OR 58393",brad14@example.com,295.665.1754x2548,100,,Pending
222,Dr. Caitlin Pratt,CN524629,8614796756,General Surgery,City Hospital,"69223 Jill Junction Apt. 536, Pattersonville, IA 19409",longrobert@example.org,313-721-6877,100,,Pending
223,Dr. Fernando Richards,PJ432123,8843634195,Neurology,Sunrise Medical Center,"9634 Victoria Tunnel, Andresburgh, NE 19454",andersonkathleen@example.org,(854)759-0008x0452,100,,Pending
224,Dr. Jeremy Bowman,JB876846,1032765968,Cardiology,Sunrise Medical Center,"09650 Matthew Course, Matthewmouth, TN 61411",gardnermary@example.net,(913)961-6019x774,100,,Pending
225,Dr. Joshua Walker,YF414878,6768469812,Psychiatry,Sunrise Medical Center,"4388 George Camp, Laneberg, FM 09732",summer56@example.com,(877)470-4776x62976,100,,Pending
226,Dr. Christopher Fields,ZK529082,7931105746,Pediatrics,LifeCare Clinic,"5906 Beltran Rapids, North Stefanietown, WV 76519",jennifer77@example.net,8582627110,100,,Pending
227,Dr. Walter Rivera,FY999157,8869112159,General Surgery,City Hospital,"9826 Dougherty Spurs Suite 976, West Matthew, OR 51384",brookeduffy@example.net,484.464.0738x5220,100,,Pending
228,Dr. Adam Peters,YE488787,2643595031,Neurology,Sunrise Medical Center,"29285 Miles Pike Suite 949, Dawnburgh, NE 35047",george09@example.org,374-396-4756x85409,100,,Pending
229,Dr. Nicholas Morales,XF946398,6416088059,Pediatrics,Sunrise Medical Center,"569 Susan Locks Suite 345, Wilsonport, AR 43111",travis79@example.com,943.391.3718x42821,100,,Pending
230,Dr. David Ramsey,SN907350,1862239715,Orthopedics,Global Health Clinic,"36193 Dudley Ville, Josefort, NC 79714",wjones@example.org,(573)896-4418x8692,100,,Pending
231,Dr. David Martinez,ZB108344,8138900798,General Surgery,City Hospital,"USS Martinez, FPO AA 49197",thomasjones@example.com,(349)898-1097,100,,Pending
232,Dr. Christopher Watkins,IM835022,1517182214,Radiology,Fortis Care,"7936 Mullen Island Apt. 165, East Brett, HI 45926",bakersteven@example.net,+1-465-610-0910x444,100,,Pending
233,Dr. Kristen King,XI269351,5903195735,General Surgery,Sunrise Medical Center,"0403 Alexander Rue, Lake Linda, IA 50514",nicholsbrenda@example.com,819.856.7948x5380,100,,Pending
234,Dr. Robert Gomez,YD523990,7585560163,Pediatrics,LifeCare Clinic,"3993 Meadows Cliffs Apt. 114, Lake Heather, RI 69008",natasha71@example.net,+1-419-402-0963x372,100,,Pending
235,Dr. Alex Smith,HY568876,5072490353,Radiology,Fortis Care,"USNS Johns, FPO AA 47627",maxwellkevin@example.com,001-305-844-6467x2229,100,,Pending
236,Dr. Brandon Johnson,TA380910,6209899579,Radiology,Global Health Clinic,"3559 Jaclyn Motorway, North Martin, NM 07889",charles58@example.org,(838)806-2439x459,100,,Pending
237,Dr. Nicole Kemp,YC986150,3503534465,Orthopedics,Sunrise Medical Center,"38807 Jeremy Glens, Davidville, TN 64805",candice39@example.com,001-323-659-3802x8931,100,,Pending
238,Dr. Latasha Nunez,HS975935,2869921346,Pediatrics,Sunrise Medical Center,"155 Lauren Pass Apt. 178, South Meagan, WV 22753",vpeterson@example.net,970.881.7053x592,100,,Pending
239,Dr. Sarah Irwin,BR595096,6145685218,Orthopedics,City Hospital,"67613 Robert Pike Suite 748, Fletcherville, PA 94131",jessicamartin@example.com,+1-734-444-5406x89722,100,,Pending
240,Dr. Danny Parker,SE468824,4484576428,Orthopedics,City Hospital,"006 Andrea Divide, Dawsonburgh, SD 31197",timothy93@example.com,(711)471-6157x7709,100,,Pending
241,Dr. Latasha Moss,BZ110272,5567759597,General Surgery,City Hospital,"1883 Williams Brooks Apt. 506, Caitlynbury, IN 29365",jeremiahallison@example.org,661.455.9095x24854,100,,Pending
242,Dr. Jeffrey Chavez,HH250821,3359556607,Psychiatry,Apollo Hospital,"30404 Patrick Rapid Apt. 113, West Matthew, NH 86421",howellamanda@example.org,9496750532,100,,Pending
243,Dr. David Rosario,LG432836,7531674710,Dermatology,Sunrise Medical Center,"2541 Melanie Terrace Apt. 398, Emilychester, AZ 35137",bjordan@example.net,001-266-486-6856x1588,100,,Pending
244,Dr. Allison Davis,HD681536,7016206732,Neurology,Sunrise Medical Center,"45638 Johnson Springs Suite 021, East Pamela, MP 58894",laurakennedy@example.net,(946)690-2556x29337,100,,Pending
245,Dr. Hannah Hayes,VG503996,8135136683,Psychiatry,City Hospital,"929 Julie Island, Destinymouth, ND 76504",laura44@example.com,(405)968-5765x456,100,,Pending
246,Dr. Valerie King,UP548856,8247090185,Radiology,Sunrise Medical Center,"Unit 2582 Box 5487, DPO AE 35644",laura30@example.org,330-983-2121x696,100,,Pending
247,Dr. Jennifer Lucero,WD807199,6295301198,General Surgery,Sunrise Medical Center,"3469 Sweeney Divide, South Thomas, MH 78614",uavila@example.org,(975)681-3725,100,,Pending
248,Dr. Emily Garcia,BA217719,2380121612,Radiology,LifeCare Clinic,"6573 Blair Groves Apt. 854, Elaineport, AR 05110",vholmes@example.net,001-899-991-6498x94989,100,,Pending
249,Dr. Toni Gray,AW133340,7524671462,General Surgery,Fortis Care,"9083 Davis Station Suite 515, South Jasonfort, NE 83532",rmcknight@example.com,351-576-8683x41036,100,,Pending
250,Dr. Victoria Cooper,VO822114,1811914482,Dermatology,Global Health Clinic,"08626 Johnson Run, New Heather, ND 01686",rchapman@example.net,8415005790,100,,Pending
251,Dr. ZA18L,LIC203,6202544286,Cardiology,Hospital A,530 4V09I Street,tdv9r@example.com,+917848201116,72,,
252,Dr. UBN9J,LIC999,INVALID,Neurology,Clinic X,238 OT3JN Street,ttmfw@example.com,+918519167041,75,Invalid NPI,
253,Dr. CV36F,LIC939,2707853768,Cardiology,Hospital A,794 KQS4X Street,nbnto@example.com,+917171772274,77,,
254,Dr. 93838,LIC248,INVALID,Neurology,Clinic X,706 UH892 Street,c9kiy@example.com,0000000000,100,Invalid NPI,
255,Dr. 6IIQN,LIC437,9362132634,Cardiology,Hospital A,64 6K2EO Street,pqwzf@example.com,+918382373945,74,,
256,Dr. NTQGC,INVALID,INVALID,Cardiology,Clinic X,637 XLEDH Street,h2hni@example.com,+917680747997,77,Invalid NPI,
257,Dr. 0POJY,LIC479,1833149821,Neurology,Hospital B,793 ZIX5Q Street,ue3rg@example.com,+919342614629,100,,
258,Dr. TX7GZ,LIC750,6739254341,Neurology,Hospital B,497 2WUBI Street,xeb8o@example.com,+917507887177,100,,
259,Dr. K16TY,LIC223,4589886945,Neurology,Hospital A,221 99R5K Street,pvji7@example.com,+918766023517,94,,
260,Dr. 31TCZ,INVALID,1430099910,Neurology,Clinic X,150 RP4O8 Street,oknal@example.com,+918608471574,79,Invalid License,
261,Dr. 97YQJ,LIC972,INVALID,Pediatrics,Hospital A,682 1WVLP Street,i6wru@example.com,+918637213498,82,Invalid NPI,
262,Dr. 8KWNG,LIC994,3014199186,Cardiology,Hospital B,653 CJQOO Street,8iipc@example.com,+917705797188,92,,
263,Dr. WZF2H,LIC230,INVALID,Neurology,Hospital A,661 UCQ2A Street,uaf8s@example.com,+917315956123,81,Invalid NPI,
264,Dr. TUC5C,LIC713,9514611464,Dermatology,Hospital A,101 CDD9X Street,r21dx@example.com,+919485514448,81,,
265,Dr. SDS4W,LIC109,7626016266,Cardiology,Clinic X,148 HVTYM Street,s1hoa@example.com,+918059081252,78,,
266,Dr. P580J,LIC759,3076269785,Pediatrics,Hospital B,245 8WNTN Street,ut64n@example.com,+918670788066,83,,
267,Dr. GYWYV,INVALID,7017860358,Neurology,Hospital B,614 OV8SE Street,afwz9@example.com,+919535928140,98,Invalid License,
268,Dr. ZEU3M,LIC457,8885179054,Cardiology,Clinic X,658 DFA18 Street,58nrj@example.com,+917150505672,84,,
269,Dr. BX5K2,INVALID,7626158326,Cardiology,Hospital B,33 3U8KE Street,fd1b7@example.com,+919592223618,76,Invalid License,
270,Dr. 8MOL1,LIC317,INVALID,Cardiology,Clinic X,721 DBVGO Street,0m1ah@example.com,+917548701022,75,Invalid NPI,
271,Dr. 7ANPI,LIC390,INVALID,Cardiology,Clinic X,839 C5U8I Street,i8jpr@example.com,+918436901180,85,Invalid NPI,
272,Dr. WBQOR,LIC777,INVALID,Neurology,Hospital A,215 M0N7B Street,9zdmh@example.com,+918577352566,78,Invalid NPI,
273,Dr. 77J97,LIC603,3591352233,Neurology,Hospital B,118 T703Y Street,ccfm9@example.com,+919539265900,78,,
274,Dr. WTK2W,LIC637,6910738713,Dermatology,Hospital A,114 RSIMF Street,d81os@example.com,+919504753820,79,,
275,Dr. UCN5S,LIC505,9435051323,Pediatrics,Clinic X,349 J73MZ Street,b08lm@example.com,+918072912554,97,,
276,Dr. 0OUGC,LIC964,INVALID,Cardiology,Hospital B,134 ZPT1Q Street,qa4aj@example.com,0000000000,82,Invalid NPI,
277,Dr. LTFX5,LIC676,1052500166,Cardiology,Clinic X,582 PVA9E Street,4ry13@example.com,0000000000,100,,
278,Dr. TTEFI,LIC549,2962376156,Cardiology,Hospital B,548 YP2WW Street,szpgk@example.com,+918271977522,88,,
279,Dr. HXHKF,INVALID,9627470148,Pediatrics,Hospital A,215 IGMP7 Street,k44dc@example.com,+918942339772,70,Invalid License,
280,Dr. CSGKY,LIC356,9118587273,Cardiology,Hospital A,349 9W7XB Street,hsvp0@example.com,+917825388740,99,,
281,Dr. OFXO4,LIC548,INVALID,Dermatology,Clinic X,86 8WLX7 Street,bhed6@example.com,+917885455454,95,Invalid NPI,
282,Dr. ZNQZJ,INVALID,9250952166,Dermatology,Clinic X,533 ZEHW8 Street,invalid_email,+919220818684,81,Invalid License,
283,Dr. S8HRQ,LIC714,3469552629,Dermatology,Hospital B,170 CXUWY Street,irqby@example.com,+919717129557,100,,
284,Dr. 4VQ2O,INVALID,INVALID,Neurology,Hospital A,712 ZYF2E Street,sm6nn@example.com,+918593196079,85,Invalid NPI,
285,Dr. Z1AVJ,LIC974,3016527331,Dermatology,Hospital B,794 2JLVW Street,rb16q@example.com,+919506802897,95,,
286,Dr. 9A82U,LIC298,2200217358,Pediatrics,Hospital B,622 ZLHEX Street,ks5bj@example.com,+919611045636,91,,
287,Dr. 0K4QM,LIC131,INVALID,Cardiology,Hospital A,482 LY91R Street,41jcl@example.com,0000000000,76,Invalid NPI,
288,Dr. WDJI4,LIC522,6912203112,Neurology,Hospital B,375 1IGTS Street,ovifa@example.com,+918935650248,92,,
289,Dr. 5R0I7,LIC449,INVALID,Dermatology,Clinic X,370 UNBBZ Street,36dp0@example.com,+919668278587,79,Invalid NPI,
290,Dr. NQN2J,LIC887,1698372791,Pediatrics,Hospital A,640 VGPUS Street,xl5ho@example.com,+919316910839,88,,
291,Dr. HA9HP,LIC468,8534465878,Pediatrics,Hospital A,666 QQYWV Street,itgl7@example.com,0000000000,89,,
292,Dr. 7OMVY,LIC885,1289596662,Cardiology,Hospital A,783 7VMC5 Street,d43q8@example.com,+919139266829,73,,
293,Dr. RAPNW,LIC114,3012829456,Cardiology,Hospital B,411 RPYHR Street,ge16f@example.com,0000000000,95,,
294,Dr. 5UGW5,LIC557,4063792054,Dermatology,Clinic X,865 OEC26 Street,br5h7@example.com,+917625330969,71,,
295,Dr. YMGD1,LIC143,INVALID,Neurology,Hospital A,54 6W0F2 Street,of62r@example.com,+918619000478,85,Invalid NPI,
296,Dr. 288W3,LIC659,8140948092,Pediatrics,Clinic X,525 878AN Street,iuehc@example.com,+919293981102,95,,
297,Dr. HTWJE,LIC945,1330866302,Neurology,Hospital A,62 D7GL6 Street,74yeq@example.com,+918089793992,72,,
298,Dr. PGQQU,LIC773,INVALID,Dermatology,Hospital A,275 K3LSJ Street,hvr3v@example.com,+918920876974,90,Invalid NPI,
299,Dr. 0LSK1,LIC294,INVALID,Cardiology,Hospital B,614 HZTAZ Street,g52r3@example.com,+919189810121,93,Invalid NPI,
300,Dr. 2C9LH,INVALID,INVALID,Neurology,Clinic X,811 C0LV9 Street,7uxqg@example.com,+918924433844,96,Invalid NPI,
